stamp_s,mode,velocity_scale,accel_scale,approach_offset_m,stiffness_scale,grip_force_cap
1769128907.858626,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128907.958626,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128908.058626,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128908.158626,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128908.258626,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128908.358626,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128908.458626,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128908.558625,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128908.658625,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128908.758625,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128908.858625,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128908.958625,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128909.058625,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128909.158625,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128909.258625,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128909.358625,urgent,1.400000,1.300000,0.000000,1.100000,1.000000
1769128909.458625,urgent,1.400000,1.300000,0.000000,1.100000,1.000000
1769128909.558625,urgent,1.400000,1.300000,0.000000,1.100000,1.000000
1769128909.658624,urgent,1.400000,1.300000,0.000000,1.100000,1.000000
1769128909.758624,urgent,1.400000,1.300000,0.000000,1.100000,1.000000
1769128909.858624,urgent,1.400000,1.300000,0.000000,1.100000,1.000000
1769128909.958624,urgent,1.400000,1.300000,0.000000,1.100000,1.000000
1769128910.058624,urgent,1.400000,1.300000,0.000000,1.100000,1.000000
1769128910.158624,urgent,1.400000,1.300000,0.000000,1.100000,1.000000
1769128910.258624,urgent,1.400000,1.300000,0.000000,1.100000,1.000000
1769128910.358624,urgent,1.400000,1.300000,0.000000,1.100000,1.000000
1769128910.458624,urgent,1.400000,1.300000,0.000000,1.100000,1.000000
1769128910.558624,urgent,1.400000,1.300000,0.000000,1.100000,1.000000
1769128910.658623,urgent,1.400000,1.300000,0.000000,1.100000,1.000000
1769128910.758623,urgent,1.400000,1.300000,0.000000,1.100000,1.000000
1769128910.858623,urgent,1.400000,1.300000,0.000000,1.100000,1.000000
1769128910.958623,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128911.058623,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128911.158623,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128911.258623,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128911.358623,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128911.458623,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128911.558623,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128911.658623,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128911.758622,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128911.858622,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128911.958622,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128912.058622,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128912.158622,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128912.258622,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128912.358622,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128912.458622,neutral,1.000000,1.000000,0.000000,1.000000,1.000000
1769128912.558622,calm,0.900000,0.900000,0.000000,0.850000,1.000000
1769128912.658622,calm,0.900000,0.900000,0.000000,0.850000,1.000000
1769128912.758621,calm,0.900000,0.900000,0.000000,0.850000,1.000000
1769128912.858621,calm,0.900000,0.900000,0.000000,0.850000,1.000000
1769128912.958621,calm,0.900000,0.900000,0.000000,0.850000,1.000000
1769128913.058621,calm,0.900000,0.900000,0.000000,0.850000,1.000000
1769128913.158621,calm,0.900000,0.900000,0.000000,0.850000,1.000000
1769128913.258621,calm,0.900000,0.900000,0.000000,0.850000,1.000000
1769128913.358621,calm,0.900000,0.900000,0.000000,0.850000,1.000000
1769128913.458621,calm,0.900000,0.900000,0.000000,0.850000,1.000000
1769128913.558621,calm,0.900000,0.900000,0.000000,0.850000,1.000000
1769128913.658621,calm,0.900000,0.900000,0.000000,0.850000,1.000000
1769128913.758621,calm,0.900000,0.900000,0.000000,0.850000,1.000000
